NodeNumber,Total Deformation (m)
546,6.44E-09
547,1.51E-09
548,3.18E-10
549,7.36E-11
550,1.71E-11
551,3.95E-12
552,8.30E-13
553,1.41E-13
554,3.00E-07
555,1.19E-07
556,3.85E-08
557,1.13E-08
558,2.63E-09
559,2.39E-12
560,1.18E-12
561,4.04E-13
562,1.29E-13
563,4.16E-14
564,1.25E-06
565,1.16E-06
566,1.06E-06
567,1.01E-06
568,9.76E-07
569,9.52E-07
570,9.58E-07
571,9.58E-07
572,9.80E-07
573,1.06E-06
574,1.20E-06
575,4.88E-14
576,5.40E-14
577,4.11E-14
578,2.03E-14
579,4.11E-14
580,5.48E-14
581,5.41E-14
582,7.40E-06
583,5.64E-06
584,4.22E-06
585,3.09E-06
586,2.23E-06
587,1.54E-06
588,9.91E-07
589,6.10E-07
590,3.85E-07
591,2.56E-07
592,1.42E-07
593,1.41E-07
594,2.57E-07
595,3.84E-07
596,6.08E-07
597,9.94E-07
598,1.54E-06
599,2.23E-06
600,3.10E-06
601,4.22E-06
602,5.65E-06
603,7.40E-06
604,1.68E-06
605,1.59E-06
606,1.62E-06
607,1.98E-06
608,2.41E-06
609,1.99E-06
610,1.56E-06
611,2.89E-06
612,2.04E-06
613,1.52E-06
614,1.96E-06
615,2.66E-06
616,2.05E-06
617,3.39E-06
618,4.29E-06
619,2.18E-06
620,5.78E-06
621,3.15E-06
622,2.14E-06
623,3.36E-06
624,4.42E-06
625,6.90E-06
626,5.50E-06
627,3.27E-06
628,6.45E-06
629,4.47E-06
630,4.28E-06
631,5.17E-06
632,3.25E-06
633,2.19E-06
634,2.18E-06
635,2.05E-06
636,3.09E-06
637,2.13E-07
638,8.84E-06
639,1.02E-05
640,2.31E-07
641,4.36E-07
642,3.95E-07
643,8.26E-06
644,6.63E-06
645,9.77E-06
646,1.14E-05
647,4.03E-07
648,1.16E-05
649,9.53E-06
650,7.91E-06
651,2.10E-07
652,6.61E-06
653,1.58E-07
654,1.59E-07
655,2.96E-07
656,2.37E-07
657,3.08E-07
658,4.65E-07
659,1.22E-05
660,1.08E-05
661,1.15E-05
662,9.87E-06
663,4.70E-07
664,6.01E-07
665,6.38E-07
666,6.34E-07
667,7.62E-06
668,6.22E-06
669,2.57E-07
670,5.30E-07
671,3.45E-07
672,5.49E-07
673,6.83E-07
674,7.82E-07
675,8.39E-07
676,8.58E-07
677,8.87E-07
678,1.02E-06
679,1.12E-06
680,7.68E-07
681,1.31E-06
682,1.51E-06
683,1.07E-06
684,7.54E-07
685,9.45E-07
686,1.28E-06
687,1.63E-06
688,1.98E-06
689,1.68E-06
690,2.26E-06
691,1.15E-06
692,1.26E-06
693,1.86E-06
694,2.48E-06
695,2.11E-06
696,2.67E-06
697,2.83E-06
698,3.15E-06
699,3.60E-06
700,3.92E-06
701,2.44E-06
702,2.92E-06
703,3.44E-06
704,1.97E-06
705,1.49E-06
706,1.09E-06
707,6.65E-07
708,1.10E-06
709,1.73E-06
710,2.37E-06
711,1.42E-06
712,2.09E-06
713,2.78E-06
714,4.50E-06
715,3.40E-06
716,4.05E-06
717,4.84E-06
718,5.65E-06
719,4.87E-06
720,6.45E-06
721,5.41E-06
722,4.57E-06
723,4.65E-06
724,3.90E-06
725,5.57E-06
726,4.98E-06
727,3.85E-06
728,2.97E-06
729,8.62E-06
730,1.73E-06
731,1.92E-06
732,1.66E-06
733,1.89E-06
734,1.45E-06
735,1.73E-06
736,2.06E-06
737,2.03E-06
738,1.40E-06
739,1.71E-06
740,2.27E-06
741,2.25E-06
742,2.28E-06
743,1.89E-06
744,1.80E-06
745,1.80E-06
746,2.25E-06
747,1.78E-06
748,2.25E-06
749,1.78E-06
750,2.23E-06
751,1.76E-06
752,2.16E-06
753,1.74E-06
754,2.08E-06
755,1.73E-06
756,2.14E-06
757,1.76E-06
758,2.24E-06
759,2.44E-06
760,2.43E-06
761,1.77E-06
762,2.23E-06
763,1.75E-06
764,2.18E-06
765,1.73E-06
766,2.15E-06
767,1.70E-06
768,2.01E-06
769,1.66E-06
770,2.09E-06
771,1.68E-06
772,2.09E-06
773,2.30E-06
774,2.28E-06
775,2.27E-06
776,1.89E-06
777,1.81E-06
778,1.79E-06
779,1.77E-06
780,2.25E-06
781,1.76E-06
782,2.19E-06
783,1.69E-06
784,1.85E-06
785,2.27E-06
786,2.27E-06
787,2.25E-06
788,1.80E-06
789,1.78E-06
790,1.76E-06
791,2.22E-06
792,1.74E-06
793,2.17E-06
794,1.70E-06
795,1.94E-06
796,2.21E-06
797,2.22E-06
798,2.15E-06
799,1.82E-06
800,1.72E-06
801,1.72E-06
802,2.25E-06
803,1.67E-06
804,2.10E-06
805,1.64E-06
806,2.04E-06
807,1.59E-06
808,1.83E-06
809,2.03E-06
810,2.10E-06
811,1.95E-06
812,1.57E-06
813,1.64E-06
814,1.49E-06
815,2.02E-06
816,2.04E-06
817,1.98E-06
818,1.71E-06
819,1.64E-06
820,1.65E-06
821,2.03E-06
822,1.62E-06
823,2.03E-06
824,1.63E-06
825,1.99E-06
826,1.57E-06
827,1.65E-06
828,1.60E-06
829,1.94E-06
830,1.58E-06
831,1.88E-06
832,1.54E-06
833,1.69E-06
834,1.67E-06
835,2.10E-06
836,1.55E-06
837,1.55E-06
838,1.88E-06
839,1.86E-06
840,1.86E-06
841,1.55E-06
842,1.85E-06
843,1.54E-06
844,1.83E-06
845,1.59E-06
846,1.81E-06
847,1.52E-06
848,1.53E-06
849,1.65E-06
850,1.66E-06
851,1.94E-06
852,1.95E-06
853,1.40E-06
854,1.67E-06
855,2.28E-06
856,2.26E-06
857,2.26E-06
858,1.88E-06
859,1.79E-06
860,1.78E-06
861,2.22E-06
862,1.72E-06
863,2.17E-06
864,1.72E-06
865,2.16E-06
866,1.67E-06
867,1.91E-06
868,1.76E-06
869,2.24E-06
870,1.75E-06
871,2.18E-06
872,1.69E-06
873,1.85E-06
874,2.27E-06
875,1.80E-06
876,2.26E-06
877,1.77E-06
878,2.25E-06
879,1.76E-06
880,2.21E-06
881,1.72E-06
882,2.10E-06
883,1.67E-06
884,1.93E-06
885,2.39E-06
886,2.32E-06
887,1.82E-06
888,2.29E-06
889,1.78E-06
890,2.24E-06
891,1.76E-06
892,2.20E-06
893,1.71E-06
894,2.08E-06
895,1.69E-06
896,1.90E-06
897,2.35E-06
898,2.28E-06
899,1.79E-06
900,2.25E-06
901,1.75E-06
902,2.16E-06
903,1.70E-06
904,2.01E-06
905,1.66E-06
906,1.97E-06
907,1.94E-06
908,1.94E-06
909,1.99E-06
910,1.47E-06
911,1.61E-06
912,1.56E-06
913,1.99E-06
914,1.56E-06
915,2.02E-06
916,1.60E-06
917,2.01E-06
918,1.60E-06
919,1.84E-06
920,2.13E-06
921,1.66E-06
922,2.12E-06
923,1.64E-06
924,1.90E-06
925,2.24E-06
926,1.65E-06
927,2.30E-06
928,1.64E-06
929,1.95E-06
930,2.13E-06
931,2.12E-06
932,1.76E-06
933,1.63E-06
934,1.69E-06
935,2.08E-06
936,1.64E-06
937,2.05E-06
938,1.64E-06
939,2.01E-06
940,1.62E-06
941,1.83E-06
942,2.08E-06
943,2.03E-06
944,1.67E-06
945,2.00E-06
946,1.63E-06
947,1.61E-06
948,1.97E-06
949,1.59E-06
950,1.94E-06
951,1.58E-06
952,1.90E-06
953,1.53E-06
954,1.80E-06
955,1.50E-06
956,1.67E-06
957,2.01E-06
958,1.95E-06
959,1.89E-06
960,1.59E-06
961,1.56E-06
962,1.84E-06
963,1.53E-06
964,1.70E-06
965,1.88E-06
966,1.81E-06
967,1.57E-06
968,1.52E-06
969,2.25E-05
970,2.24E-05
971,4.31E-05
972,3.33E-05
973,1.47E-07
974,1.66E-06
975,1.68E-06
976,1.63E-06
977,3.08E-06
978,3.07E-06
979,3.11E-06
980,3.12E-06
981,1.64E-06
982,4.82E-06
983,4.39E-06
984,4.76E-06
985,1.70E-06
986,3.13E-06
987,4.64E-06
988,3.26E-06
989,1.69E-06
990,3.13E-06
991,1.74E-06
992,1.88E-06
993,3.13E-06
994,3.33E-06
995,4.67E-06
996,4.40E-06
997,4.49E-06
998,4.39E-06
999,4.60E-06
1000,4.67E-06
1001,1.68E-06
1002,1.69E-06
1003,1.67E-06
1004,3.11E-06
1005,3.07E-06
1006,3.17E-06
1007,3.10E-06
1008,1.74E-06
1009,4.67E-06
1010,4.37E-06
1011,4.51E-06
1012,1.66E-06
1013,1.89E-06
1014,3.14E-06
1015,4.37E-06
1016,3.33E-06
1017,4.43E-06
1018,1.58E-06
1019,1.64E-06
1020,1.38E-06
1021,3.00E-06
1022,3.13E-06
1023,3.15E-06
1024,4.67E-06
1025,4.64E-06
1026,4.75E-06
1027,4.79E-06
1028,4.80E-06
1029,1.46E-07
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
