NodeNumber,Equivalent Stress (Pa)
531,2.53E+06
532,8.53E+06
533,1.83E+07
534,3.73E+07
535,5.28E+07
536,6.79E+07
537,8.09E+07
538,1.1108
539,7.90E+07
540,6.17E+07
541,4.34E+07
542,2.70E+07
543,1.25E+07
544,5.02E+06
545,1.71E+06
546,3.74E+05
547,87696
548,19230
549,5170
550,1012.1
551,235.61
552,54.441
553,9.8472
554,1.19E+07
555,8.91E+06
556,3.36E+06
557,1.00E+06
558,2.44E+05
559,77.097
560,62.976
561,40.515
562,12.997
563,2.5798
564,6.22E+07
565,7.60E+07
566,8.61E+07
567,9.50E+07
568,1.12E+08
569,1.02E+08
570,1.05E+08
571,1.18E+08
572,9.89E+07
573,8.48E+07
574,6.66E+07
575,0.67671
576,0.69698
577,0.62269
578,0.78398
579,0.58192
580,0.5261
581,0.80367
582,1.24E+08
583,8.29E+07
584,6.13E+07
585,4.56E+07
586,3.07E+07
587,1.73E+07
588,2.15E+07
589,3.18E+07
590,4.73E+07
591,5.15E+07
592,4.76E+07
593,4.78E+07
594,5.15E+07
595,4.63E+07
596,3.30E+07
597,2.01E+07
598,1.76E+07
599,3.03E+07
600,4.57E+07
601,6.16E+07
602,8.19E+07
603,1.23E+08
604,5.09E+07
605,5.69E+07
606,5.94E+07
607,6.57E+07
608,8.72E+07
609,6.67E+07
610,7.81E+07
611,9.89E+07
612,7.16E+07
613,8.28E+07
614,9.57E+07
615,9.78E+07
616,8.72E+07
617,1.17E+08
618,1.43E+08
619,1.11E+08
620,1.74E+08
621,1.16E+08
622,1.22E+08
623,1.29E+08
624,1.43E+08
625,2.04E+08
626,1.66E+08
627,1.35E+08
628,1.78E+08
629,1.52E+08
630,1.48E+08
631,1.58E+08
632,1.41E+08
633,1.33E+08
634,1.31E+08
635,1.32E+08
636,1.38E+08
637,5.72E+07
638,1.42E+08
639,1.35E+08
640,5.85E+07
641,5.69E+07
642,5.86E+07
643,9.66E+07
644,8.15E+07
645,1.11E+08
646,1.42E+08
647,5.61E+07
648,1.43E+08
649,1.09E+08
650,7.33E+07
651,5.77E+07
652,6.32E+07
653,5.97E+07
654,5.94E+07
655,5.67E+07
656,5.82E+07
657,5.83E+07
658,5.52E+07
659,1.51E+08
660,1.31E+08
661,1.40E+08
662,1.17E+08
663,5.68E+07
664,5.21E+07
665,5.28E+07
666,5.19E+07
667,7.76E+07
668,6.25E+07
669,5.77E+07
670,5.60E+07
671,5.78E+07
672,5.42E+07
673,5.06E+07
674,4.73E+07
675,4.75E+07
676,4.69E+07
677,4.75E+07
678,5.00E+07
679,5.02E+07
680,4.80E+07
681,5.97E+07
682,5.95E+07
683,5.27E+07
684,4.70E+07
685,4.73E+07
686,5.72E+07
687,6.68E+07
688,6.84E+07
689,5.53E+07
690,5.93E+07
691,4.82E+07
692,3.94E+07
693,4.27E+07
694,4.32E+07
695,3.12E+07
696,3.39E+07
697,5.67E+07
698,3.84E+07
699,4.25E+07
700,3.23E+07
701,6.98E+07
702,6.00E+07
703,4.88E+07
704,6.75E+07
705,5.76E+07
706,4.97E+07
707,4.97E+07
708,4.58E+07
709,5.33E+07
710,5.84E+07
711,3.65E+07
712,3.84E+07
713,4.73E+07
714,4.23E+07
715,4.09E+07
716,3.30E+07
717,3.83E+07
718,5.71E+07
719,5.19E+07
720,7.75E+07
721,5.05E+07
722,3.40E+07
723,4.59E+07
724,3.42E+07
725,5.45E+07
726,5.39E+07
727,4.49E+07
728,3.77E+07
729,1.29E+08
730,8.85E+07
731,2.15E+08
732,2.27E+08
733,2.38E+08
734,2.14E+08
735,2.46E+08
736,2.33E+08
737,2.43E+08
738,2.25E+08
739,2.47E+08
740,2.60E+08
741,2.61E+08
742,2.61E+08
743,2.70E+08
744,2.59E+08
745,2.79E+08
746,2.60E+08
747,2.61E+08
748,2.62E+08
749,2.74E+08
750,2.77E+08
751,2.67E+08
752,2.71E+08
753,2.76E+08
754,2.92E+08
755,2.65E+08
756,2.74E+08
757,2.69E+08
758,2.81E+08
759,2.70E+08
760,2.69E+08
761,2.54E+08
762,2.51E+08
763,2.66E+08
764,2.59E+08
765,2.54E+08
766,2.56E+08
767,2.47E+08
768,2.57E+08
769,2.47E+08
770,2.47E+08
771,2.41E+08
772,2.40E+08
773,2.93E+08
774,2.75E+08
775,2.67E+08
776,2.89E+08
777,2.75E+08
778,2.84E+08
779,2.79E+08
780,2.81E+08
781,2.72E+08
782,2.93E+08
783,2.71E+08
784,2.91E+08
785,2.85E+08
786,2.88E+08
787,2.88E+08
788,2.80E+08
789,2.66E+08
790,2.83E+08
791,2.76E+08
792,2.71E+08
793,2.98E+08
794,2.76E+08
795,2.81E+08
796,2.90E+08
797,2.66E+08
798,2.69E+08
799,2.79E+08
800,2.58E+08
801,2.76E+08
802,2.83E+08
803,2.74E+08
804,2.72E+08
805,2.59E+08
806,2.83E+08
807,2.59E+08
808,2.91E+08
809,2.49E+08
810,2.65E+08
811,2.59E+08
812,2.54E+08
813,2.50E+08
814,2.46E+08
815,2.02E+08
816,2.01E+08
817,1.95E+08
818,2.10E+08
819,2.05E+08
820,2.08E+08
821,2.13E+08
822,2.19E+08
823,2.23E+08
824,2.23E+08
825,2.35E+08
826,2.23E+08
827,2.41E+08
828,1.97E+08
829,1.91E+08
830,1.93E+08
831,1.84E+08
832,1.75E+08
833,1.80E+08
834,2.24E+08
835,2.32E+08
836,1.58E+08
837,1.52E+08
838,1.61E+08
839,1.76E+08
840,1.39E+08
841,1.40E+08
842,1.32E+08
843,1.34E+08
844,1.18E+08
845,1.18E+08
846,1.08E+08
847,1.04E+08
848,1.82E+08
849,8.84E+07
850,2.28E+08
851,2.16E+08
852,2.32E+08
853,2.10E+08
854,2.36E+08
855,2.73E+08
856,2.60E+08
857,2.89E+08
858,2.79E+08
859,2.79E+08
860,2.71E+08
861,2.97E+08
862,2.59E+08
863,2.74E+08
864,2.76E+08
865,2.83E+08
866,2.63E+08
867,2.82E+08
868,2.76E+08
869,2.85E+08
870,2.81E+08
871,2.86E+08
872,2.61E+08
873,2.80E+08
874,2.76E+08
875,2.84E+08
876,2.85E+08
877,2.70E+08
878,2.72E+08
879,2.70E+08
880,2.82E+08
881,2.70E+08
882,2.86E+08
883,2.51E+08
884,2.84E+08
885,2.72E+08
886,2.74E+08
887,2.71E+08
888,2.74E+08
889,2.83E+08
890,2.67E+08
891,2.77E+08
892,2.76E+08
893,2.55E+08
894,2.78E+08
895,2.53E+08
896,2.59E+08
897,2.60E+08
898,2.58E+08
899,2.62E+08
900,2.54E+08
901,2.61E+08
902,2.54E+08
903,2.47E+08
904,2.53E+08
905,2.40E+08
906,2.64E+08
907,2.49E+08
908,2.49E+08
909,2.59E+08
910,2.34E+08
911,2.47E+08
912,2.52E+08
913,2.68E+08
914,2.57E+08
915,2.45E+08
916,2.50E+08
917,2.37E+08
918,2.62E+08
919,2.90E+08
920,2.76E+08
921,2.74E+08
922,2.67E+08
923,2.58E+08
924,2.79E+08
925,2.81E+08
926,2.71E+08
927,2.22E+08
928,2.41E+08
929,2.58E+08
930,2.28E+08
931,2.49E+08
932,2.43E+08
933,2.30E+08
934,2.40E+08
935,2.26E+08
936,2.34E+08
937,2.25E+08
938,2.24E+08
939,2.29E+08
940,2.23E+08
941,2.24E+08
942,2.26E+08
943,2.09E+08
944,2.24E+08
945,2.01E+08
946,2.15E+08
947,2.07E+08
948,1.93E+08
949,1.88E+08
950,1.82E+08
951,1.93E+08
952,1.77E+08
953,1.82E+08
954,1.82E+08
955,1.78E+08
956,1.81E+08
957,1.70E+08
958,1.62E+08
959,1.53E+08
960,1.69E+08
961,1.53E+08
962,1.36E+08
963,1.37E+08
964,1.34E+08
965,1.16E+08
966,1.04E+08
967,1.27E+08
968,1.05E+08
969,4.20E+07
970,4.25E+07
971,7.85E+07
972,9.49E+07
973,1.14E+07
974,9.80E+07
975,8.88E+07
976,8.82E+07
977,7.50E+07
978,7.69E+07
979,7.16E+07
980,7.70E+07
981,8.61E+07
982,8.13E+07
983,7.95E+07
984,7.78E+07
985,8.82E+07
986,7.78E+07
987,8.21E+07
988,7.91E+07
989,8.18E+07
990,6.74E+07
991,8.10E+07
992,7.32E+07
993,6.26E+07
994,5.95E+07
995,7.91E+07
996,6.69E+07
997,7.20E+07
998,6.19E+07
999,7.34E+07
1000,8.29E+07
1001,8.08E+07
1002,8.36E+07
1003,8.61E+07
1004,7.51E+07
1005,7.34E+07
1006,7.62E+07
1007,6.72E+07
1008,7.47E+07
1009,7.43E+07
1010,7.33E+07
1011,7.08E+07
1012,8.24E+07
1013,8.22E+07
1014,6.31E+07
1015,6.52E+07
1016,5.87E+07
1017,6.48E+07
1018,9.07E+07
1019,7.90E+07
1020,9.99E+07
1021,7.92E+07
1022,7.88E+07
1023,7.59E+07
1024,7.91E+07
1025,8.40E+07
1026,7.98E+07
1027,8.02E+07
1028,7.92E+07
1029,1.15E+07
1030,4592.4
1031,1.59E+07
1032,1.47E+07
1033,165.41
1034,1.89E+05
1035,228.52
1036,1.87E+05
1037,1.89E+07
1038,2.08E+07
1039,639.86
1040,10.951
1041,2.73E+06
1042,32065
1043,18.001
1044,2.64E+06
1045,3493.6
1046,16593
1047,1.43E+07
1048,3.87E+07
1049,1.73E+07
1050,1283.9
1051,1266.4
1052,55594
1053,3.93E+07
1054,3.00E+07
1055,2.82E+07
1056,74.384
1057,1.79E+07
1058,1507.5
1059,109.26
1060,5.02E+06
1061,2.51E+06
1062,19637
1063,361.16
1064,3.72E+05
1065,3.9754
1066,4.4398
1067,4499.8
1068,2.21E+07
1069,2.25E+05
1070,3.80E+07
1071,1.90E+07
1072,1.54E+07
1073,1.75E+07
1074,47449
1075,2.41E+07
1076,1.40E+07
1077,44.294
1078,5.59E+06
1079,13.837
1080,11.978
1081,1.39E+07
1082,53691
1083,70.302
1084,2.78E+07
1085,235.72
1086,1.46E+07
1087,1.12E+05
1088,6.15E+06
1089,1.72E+07
1090,1.77E+07
1091,53625
1092,4.23E+07
1093,4.21E+05
1094,9.01E+06
1095,5.00E+07
1096,81.67
1097,1.34E+07
1098,2.18E+07
1099,2.26E+07
1100,1.30E+07
1101,8.46E+05
1102,15753
1103,5.45E+07
1104,336.5
1105,2.06E+07
1106,2.30E+07
1107,4.85E+07
1108,16184
1109,58892
1110,757.78
1111,1.60E+07
1112,50650
1113,3844
1114,506.65
1115,145.84
1116,1.1497
1117,370.96
1118,4.66E+07
1119,318.58
1120,12418
1121,1.65E+06
1122,6.48E+06
